timestamp,value
2003-01-01 00:00:00,1.4969999999999999
2003-01-01 01:00:00,2.5469999999999997
2003-01-01 02:00:00,3.2569999999999997
2003-01-01 03:00:00,3.167
2003-01-01 04:00:00,2.527
2003-01-01 05:00:00,1.537
2003-01-01 06:00:00,0.3969999999999998
2003-01-01 07:00:00,-0.633
2003-01-01 08:00:00,-1.303
2003-01-01 09:00:00,-1.5530000000000002
2003-01-01 10:00:00,-1.173
2003-01-01 11:00:00,-0.2030000000000003
2003-01-01 12:00:00,1.0469999999999997
2003-01-01 13:00:00,2.2569999999999997
2003-01-01 14:00:00,3.1470000000000002
2003-01-01 15:00:00,3.3869999999999996
2003-01-01 16:00:00,2.917
2003-01-01 17:00:00,2.027
2003-01-01 18:00:00,0.867
2003-01-01 19:00:00,-0.30299999999999994
2003-01-01 20:00:00,-1.213
2003-01-01 21:00:00,-1.643
2003-01-01 22:00:00,-1.6230000000000002
2003-01-01 23:00:00,-0.7030000000000003
2003-01-02 00:00:00,0.577
2003-01-02 01:00:00,1.987
2003-01-02 02:00:00,3.127
2003-01-02 03:00:00,3.6870000000000003
2003-01-02 04:00:00,3.5569999999999995
2003-01-02 05:00:00,2.697
2003-01-02 06:00:00,1.5969999999999995
2003-01-02 07:00:00,0.3969999999999998
2003-01-02 08:00:00,-0.6830000000000003
2003-01-02 09:00:00,-1.3930000000000002
2003-01-02 10:00:00,-1.693
2003-01-02 11:00:00,-1.303
2003-01-02 12:00:00,-0.34299999999999997
2003-01-02 13:00:00,1.077
2003-01-02 14:00:00,2.2969999999999997
2003-01-02 15:00:00,3.1470000000000002
2003-01-02 16:00:00,3.247
2003-01-02 17:00:00,2.667
2003-01-02 18:00:00,1.7270000000000003
2003-01-02 19:00:00,0.5270000000000001
2003-01-02 20:00:00,-0.653
2003-01-02 21:00:00,-1.5530000000000002
2003-01-02 22:00:00,-1.933
2003-01-02 23:00:00,-1.673
2003-01-03 00:00:00,-0.6930000000000001
2003-01-03 01:00:00,0.7169999999999996
2003-01-03 02:00:00,2.067
2003-01-03 03:00:00,3.1470000000000002
2003-01-03 04:00:00,3.6369999999999996
2003-01-03 05:00:00,3.2270000000000003
2003-01-03 06:00:00,2.287
2003-01-03 07:00:00,1.0969999999999995
2003-01-03 08:00:00,-0.133
2003-01-03 09:00:00,-1.2430000000000003
2003-01-03 10:00:00,-1.893
2003-01-03 11:00:00,-1.943
2003-01-03 12:00:00,-1.2430000000000003
2003-01-03 13:00:00,0.006999999999999673
2003-01-03 14:00:00,1.4269999999999996
2003-01-03 15:00:00,2.617
2003-01-03 16:00:00,3.367
2003-01-03 17:00:00,3.2969999999999997
2003-01-03 18:00:00,2.5469999999999997
2003-01-03 19:00:00,1.487
