solver,solver_label,runtime_backend,surface_interaction_model,elapsed_days,recharge_mm_day,recharge_flux_m3_day,surface_excess_flux_m3_day,east_boundary_outflow_m3_day,total_outflow_m3_day,storage_balance_m3_day,total_overflow_m3_day,active_overflow_length_m,overflow_front_x_m,overflow_centroid_x_m,max_head_clearance_m
boussinesq,Local dense runtime,local,regularized_partition,35.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.1206166596747549
boussinesq,Local dense runtime,local,regularized_partition,36.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.1352092093757724
boussinesq,Local dense runtime,local,regularized_partition,37.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.148185225844987
boussinesq,Local dense runtime,local,regularized_partition,38.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.159215003191317
boussinesq,Local dense runtime,local,regularized_partition,39.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.1694066071013731
boussinesq,Local dense runtime,local,regularized_partition,40.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.1773339236793587
petsc_partition,PETSc regularized partition,petsc,regularized_partition,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.0750000000000002
petsc_partition,PETSc regularized partition,petsc,regularized_partition,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.2217297773587448
petsc_partition,PETSc regularized partition,petsc,regularized_partition,2.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.245024087856207
petsc_partition,PETSc regularized partition,petsc,regularized_partition,3.0,10.000000000000002,120.00000000000003,8.121183649133481,-0.0,8.121183649133481,111.87881635086654,8.121183649133481,400.0,395.0,283.96897686070923,-1.2290080126775154
petsc_partition,PETSc regularized partition,petsc,regularized_partition,4.0,10.000000000000002,120.00000000000003,8.277370922279298,-0.0,8.277370922279298,111.72262907772073,8.277370922279298,400.0,395.0,278.7758513062055,-1.219370072300888
petsc_partition,PETSc regularized partition,petsc,regularized_partition,5.0,10.000000000000002,120.00000000000003,8.544360402425086,-0.0,8.544360402425086,111.45563959757494,8.544360402425086,400.0,395.0,274.92761351288954,-1.211695559218089
petsc_partition,PETSc regularized partition,petsc,regularized_partition,6.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.2294265842878107
petsc_partition,PETSc regularized partition,petsc,regularized_partition,7.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.2366802969815605
petsc_partition,PETSc regularized partition,petsc,regularized_partition,8.0,20.000000000000004,240.00000000000006,21.71143857911165,-0.0,21.71143857911165,218.2885614208884,21.71143857911165,400.0,395.0,282.82502400235603,-1.1962317882160347
petsc_partition,PETSc regularized partition,petsc,regularized_partition,9.0,20.000000000000004,240.00000000000006,23.52390424133792,-0.0,23.52390424133792,216.47609575866213,23.52390424133792,400.0,395.0,275.99263580760555,-1.1734673138502125
petsc_partition,PETSc regularized partition,petsc,regularized_partition,10.0,20.000000000000004,240.00000000000006,25.827944557026083,-0.0,25.827944557026083,214.17205544297397,25.827944557026083,400.0,395.0,270.7466236817856,-1.13226195149936
petsc_partition,PETSc regularized partition,petsc,regularized_partition,11.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.1898247263710737
petsc_partition,PETSc regularized partition,petsc,regularized_partition,12.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.2027970226720752
petsc_partition,PETSc regularized partition,petsc,regularized_partition,13.0,32.0,384.0,52.551304349638,-0.0,52.551304349638,331.44869565036197,52.551304349638,400.0,395.0,272.29548073266335,-1.1009590537860507
petsc_partition,PETSc regularized partition,petsc,regularized_partition,14.0,32.0,384.0,61.40660152347781,-0.0,61.40660152347781,322.59339847652217,61.40660152347781,400.0,395.0,264.9777402690787,-0.9858508579649037
petsc_partition,PETSc regularized partition,petsc,regularized_partition,15.0,32.0,384.0,71.92125181957218,-0.0,71.92125181957218,312.07874818042785,71.92125181957218,400.0,395.0,258.84425412721566,-0.8769491020217659
petsc_partition,PETSc regularized partition,petsc,regularized_partition,16.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-0.9664677255701264
petsc_partition,PETSc regularized partition,petsc,regularized_partition,17.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,nan,nan,-1.0317037747052558
petsc_partition,PETSc regularized partition,petsc,regularized_partition,18.0,42.0,504.0,117.80350186447376,-0.0,117.80350186447376,386.1964981355262,117.80350186447376,400.0,395.0,255.81956822905428,-0.8498730001064478
